multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate,minmov,pricescale
10.0,y2205,2022-05-18,,DCE,2021-05-20,Y,2.0,Y2205.DCE,豆油2205,2022-05-23,2,1
10.0,y2207,2022-07-14,,DCE,2021-07-15,Y,2.0,Y2207.DCE,豆油2207,2022-07-19,2,1
10.0,y2208,2022-08-12,,DCE,2021-08-16,Y,2.0,Y2208.DCE,豆油2208,2022-08-17,2,1
10.0,y2209,2022-09-15,,DCE,2021-09-15,Y,2.0,Y2209.DCE,豆油2209,2022-09-20,2,1
10.0,y2301,2023-01-17,,DCE,2022-01-18,Y,2.0,Y2301.DCE,豆油2301,2023-01-20,2,1
10.0,y2211,2022-11-14,,DCE,2021-11-15,Y,2.0,Y2211.DCE,豆油2211,2022-11-17,2,1
10.0,y2212,2022-12-14,,DCE,2021-12-15,Y,2.0,Y2212.DCE,豆油2212,2022-12-19,2,1
10.0,y0000,2099-01-01,,DCE,2006-01-09,Y,2.0,Y0000.DCE,豆油指数,2099-01-01,2,1
10.0,sp2204,2022-04-15,,SHFE,2021-04-16,SP,2.0,SP2204.SHF,漂针浆2204,2022-04-20,2,1
10.0,sp2206,2022-06-15,,SHFE,2021-06-16,SP,2.0,SP2206.SHF,漂针浆2206,2022-06-20,2,1
10.0,sp2205,2022-05-16,,SHFE,2021-05-18,SP,2.0,SP2205.SHF,漂针浆2205,2022-05-19,2,1
10.0,sp2207,2022-07-15,,SHFE,2021-07-16,SP,2.0,SP2207.SHF,漂针浆2207,2022-07-20,2,1
10.0,sp2208,2022-08-15,,SHFE,2021-08-17,SP,2.0,SP2208.SHF,漂针浆2208,2022-08-18,2,1
10.0,sp2209,2022-09-15,,SHFE,2021-09-16,SP,2.0,SP2209.SHF,漂针浆2209,2022-09-20,2,1
10.0,sp2301,2023-01-16,,SHFE,2022-01-18,SP,2.0,SP2301.SHF,漂针浆2301,2023-01-19,2,1
10.0,sp2210,2022-10-17,,SHFE,2021-10-18,SP,2.0,SP2210.SHF,漂针浆2210,2022-10-20,2,1
10.0,sp2212,2022-12-15,,SHFE,2021-12-16,SP,2.0,SP2212.SHF,漂针浆2212,2022-12-20,2,1
10.0,sp2211,2022-11-15,,SHFE,2021-11-16,SP,2.0,SP2211.SHF,漂针浆2211,2022-11-18,2,1
10.0,sp0000,2099-01-01,,SHFE,2018-11-27,SP,2.0,SP0000.SHF,漂针浆指数,2099-01-01,2,1
10.0,lu2205,2022-04-29,,INE,2021-05-06,LU,1.0,LU2205.INE,低硫燃料油2205,2022-05-11,1,1
10.0,lu2206,2022-05-31,,INE,2021-06-01,LU,1.0,LU2206.INE,低硫燃料油2206,2022-06-08,1,1
10.0,lu2209,2022-08-31,,INE,2021-09-01,LU,1.0,LU2209.INE,低硫燃料油2209,2022-09-07,1,1
10.0,lu2207,2022-06-30,,INE,2021-07-01,LU,1.0,LU2207.INE,低硫燃料油2207,2022-07-07,1,1
10.0,lu2208,2022-07-29,,INE,2021-08-02,LU,1.0,LU2208.INE,低硫燃料油2208,2022-08-05,1,1
10.0,lu2210,2022-09-23,,INE,2021-09-24,LU,1.0,LU2210.INE,低硫燃料油2210,2022-09-30,1,1
10.0,lu2302,2023-01-31,,INE,2022-01-24,LU,1.0,LU2302.INE,低硫燃料油2302,2023-02-07,1,1
10.0,lu2211,2022-10-31,,INE,2021-11-01,LU,1.0,LU2211.INE,低硫燃料油2211,2022-11-07,1,1
10.0,lu2212,2022-11-30,,INE,2021-12-01,LU,1.0,LU2212.INE,低硫燃料油2212,2022-12-07,1,1
10.0,lu2301,2022-12-30,,INE,2021-12-24,LU,1.0,LU2301.INE,低硫燃料油2301,2023-01-10,1,1
10.0,lu0000,2099-01-01,,INE,2020-06-22,LU,1.0,LU0000.INE,低硫燃料油指数,2099-01-01,1,1
10.0,b2204,2022-04-18,,DCE,2021-04-16,B,1.0,B2204.DCE,黄大豆2号2204,2022-04-21,1,1
10.0,b2206,2022-06-15,,DCE,2021-06-16,B,1.0,B2206.DCE,黄大豆2号2206,2022-06-20,1,1
10.0,b2205,2022-05-18,,DCE,2021-05-20,B,1.0,B2205.DCE,黄大豆2号2205,2022-05-23,1,1
10.0,b2207,2022-07-14,,DCE,2021-07-15,B,1.0,B2207.DCE,黄大豆2号2207,2022-07-19,1,1
10.0,b2208,2022-08-12,,DCE,2021-08-16,B,1.0,B2208.DCE,黄大豆2号2208,2022-08-17,1,1
10.0,b2209,2022-09-15,,DCE,2021-09-15,B,1.0,B2209.DCE,黄大豆2号2209,2022-09-20,1,1
10.0,b2301,2023-01-17,,DCE,2022-01-18,B,1.0,B2301.DCE,黄大豆2号2301,2023-01-20,1,1
10.0,b2210,2022-10-21,,DCE,2021-10-22,B,1.0,B2210.DCE,黄大豆2号2210,2022-10-26,1,1
10.0,b2211,2022-11-14,,DCE,2021-11-15,B,1.0,B2211.DCE,黄大豆2号2211,2022-11-17,1,1
