multiplier,trading_code,delist_date,price_tick_desc,exchange,list_date,product_code,price_tick,instrument,name,last_ddate
10.0,y2111,2021-11-12,,DCE,2020-11-16,Y,2.0,Y2111.DCE,豆油2111,2021-11-17
10.0,y2112,2021-12-14,,DCE,2020-12-15,Y,2.0,Y2112.DCE,豆油2112,2021-12-17
10.0,y2201,2022-01-17,,DCE,2021-01-18,Y,2.0,Y2201.DCE,豆油2201,2022-01-20
10.0,y2203,2022-03-14,,DCE,2021-03-15,Y,2.0,Y2203.DCE,豆油2203,2022-03-17
10.0,y2205,2022-05-18,,DCE,2021-05-20,Y,2.0,Y2205.DCE,豆油2205,2022-05-23
10.0,y2207,2022-07-14,,DCE,2021-07-15,Y,2.0,Y2207.DCE,豆油2207,2022-07-19
10.0,y2208,2022-08-12,,DCE,2021-08-16,Y,2.0,Y2208.DCE,豆油2208,2022-08-17
10.0,y2209,2022-09-15,,DCE,2021-09-15,Y,2.0,Y2209.DCE,豆油2209,2022-09-20
10.0,y2301,2023-01-17,,DCE,2022-01-18,Y,2.0,Y2301.DCE,豆油2301,2023-01-20
10.0,y2211,2022-11-14,,DCE,2021-11-15,Y,2.0,Y2211.DCE,豆油2211,2022-11-17
10.0,y2212,2022-12-14,,DCE,2021-12-15,Y,2.0,Y2212.DCE,豆油2212,2022-12-19
10.0,y8888,2099-01-01,,DCE,2006-01-09,Y,2.0,Y8888.DCE,豆油主力,2099-01-01
10.0,y0000,2099-01-01,,DCE,2006-01-09,Y,2.0,Y0000.DCE,豆油指数,2099-01-01
10.0,y9999,2099-01-01,,DCE,2006-01-09,Y,2.0,Y9999.DCE,豆油前复权主力,2099-01-01
300.0,IH2110,2021-10-15,,CFFEX,2021-08-23,IH,0.2,IH2110.CFX,上证50指数2110,2021-10-15
300.0,IH2111,2021-11-19,,CFFEX,2021-09-22,IH,0.2,IH2111.CFX,上证50指数2111,2021-11-19
300.0,IH2112,2021-12-17,,CFFEX,2021-04-19,IH,0.2,IH2112.CFX,上证50指数2112,2021-12-17
300.0,IH2201,2022-01-21,,CFFEX,2021-11-22,IH,0.2,IH2201.CFX,上证50指数2201,2022-01-21
300.0,IH2203,2022-03-18,,CFFEX,2021-07-19,IH,0.2,IH2203.CFX,上证50指数2203,2022-03-18
300.0,IH2206,2022-06-17,,CFFEX,2021-10-18,IH,0.2,IH2206.CFX,上证50指数2206,2022-06-17
300.0,IH2209,2022-09-16,,CFFEX,2022-01-24,IH,0.2,IH2209.CFX,上证50指数2209,2022-09-16
300.0,IH2202,2022-02-18,,CFFEX,2021-12-20,IH,0.2,IH2202.CFX,上证50指数2202,2022-02-18
300.0,IH8888,2099-01-01,,CFFEX,2015-04-16,IH,0.2,IH8888.CFX,上证50指数主力,2099-01-01
300.0,IH0000,2099-01-01,,CFFEX,2015-04-16,IH,0.2,IH0000.CFX,上证50指数指数,2099-01-01
300.0,IH9999,2099-01-01,,CFFEX,2015-04-16,IH,0.2,IH9999.CFX,上证50指数前复权主力,2099-01-01
10.0,sp2110,2021-10-15,,SHFE,2020-10-16,SP,2.0,SP2110.SHF,漂针浆2110,2021-10-20
10.0,sp2111,2021-11-15,,SHFE,2020-11-17,SP,2.0,SP2111.SHF,漂针浆2111,2021-11-18
10.0,sp2112,2021-12-15,,SHFE,2020-12-16,SP,2.0,SP2112.SHF,漂针浆2112,2021-12-20
10.0,sp2201,2022-01-17,,SHFE,2021-01-18,SP,2.0,SP2201.SHF,漂针浆2201,2022-01-20
10.0,sp2202,2022-02-15,,SHFE,2021-02-08,SP,2.0,SP2202.SHF,漂针浆2202,2022-02-18
10.0,sp2204,2022-04-15,,SHFE,2021-04-16,SP,2.0,SP2204.SHF,漂针浆2204,2022-04-20
10.0,sp2203,2022-03-15,,SHFE,2021-03-16,SP,2.0,SP2203.SHF,漂针浆2203,2022-03-18
10.0,sp2206,2022-06-15,,SHFE,2021-06-16,SP,2.0,SP2206.SHF,漂针浆2206,2022-06-20
10.0,sp2205,2022-05-16,,SHFE,2021-05-18,SP,2.0,SP2205.SHF,漂针浆2205,2022-05-19
10.0,sp2207,2022-07-15,,SHFE,2021-07-16,SP,2.0,SP2207.SHF,漂针浆2207,2022-07-20
10.0,sp2208,2022-08-15,,SHFE,2021-08-17,SP,2.0,SP2208.SHF,漂针浆2208,2022-08-18
10.0,sp2209,2022-09-15,,SHFE,2021-09-16,SP,2.0,SP2209.SHF,漂针浆2209,2022-09-20
10.0,sp2301,2023-01-16,,SHFE,2022-01-18,SP,2.0,SP2301.SHF,漂针浆2301,2023-01-19
10.0,sp2210,2022-10-17,,SHFE,2021-10-18,SP,2.0,SP2210.SHF,漂针浆2210,2022-10-20
10.0,sp2212,2022-12-15,,SHFE,2021-12-16,SP,2.0,SP2212.SHF,漂针浆2212,2022-12-20
10.0,sp2211,2022-11-15,,SHFE,2021-11-16,SP,2.0,SP2211.SHF,漂针浆2211,2022-11-18
10.0,sp8888,2099-01-01,,SHFE,2018-11-27,SP,2.0,SP8888.SHF,漂针浆主力,2099-01-01
10.0,sp0000,2099-01-01,,SHFE,2018-11-27,SP,2.0,SP0000.SHF,漂针浆指数,2099-01-01
10.0,sp9999,2099-01-01,,SHFE,2018-11-27,SP,2.0,SP9999.SHF,漂针浆前复权主力,2099-01-01
300.0,IFL1,2099-01-01,指数点,CFFEX,1993-01-01,IFL,0.2,IFL1.CFX,沪深300期货次月,2099-01-01
300.0,IFL2,2099-01-01,指数点,CFFEX,1993-01-01,IFL,0.2,IFL2.CFX,沪深300期货当季,2099-01-01
300.0,IFL3,2099-01-01,指数点,CFFEX,1993-01-01,IFL,0.2,IFL3.CFX,沪深300期货下季,2099-01-01
5.0,RO8888,2099-01-01,人民币元/吨,CZCE,2007-06-08,RO,2.0,RO8888.CZC,菜油主力,2013-05-17
5.0,RO0000,2099-01-01,人民币元/吨,CZCE,2007-06-08,RO,2.0,RO0000.CZC,菜油指数,2013-05-17
5.0,RO9999,2099-01-01,人民币元/吨,CZCE,2007-06-08,RO,2.0,RO9999.CZC,菜油前复权主力,2013-05-17
10000.0,T2112,2021-12-10,,CFFEX,2021-03-15,T,0.005,T2112.CFX,10年期国债2112,2021-12-15
10000.0,T2203,2022-03-11,,CFFEX,2021-06-15,T,0.005,T2203.CFX,10年期国债2203,2022-03-16
10000.0,T2206,2022-06-10,,CFFEX,2021-09-13,T,0.005,T2206.CFX,10年期国债2206,2022-06-15
10000.0,T2209,2022-09-09,,CFFEX,2021-12-13,T,0.005,T2209.CFX,10年期国债2209,2022-09-15
10000.0,T8888,2099-01-01,,CFFEX,2015-03-20,T,0.005,T8888.CFX,10年期国债主力,2099-01-01
10000.0,T0000,2099-01-01,,CFFEX,2015-03-20,T,0.005,T0000.CFX,10	年期国债指数,2099-01-01
10000.0,T9999,2099-01-01,,CFFEX,2015-03-20,T,0.005,T9999.CFX,10年期国债前复权主力,2099-01-01
10.0,fb2110,2021-10-21,,DCE,2020-10-23,FB,0.5,FB2110.DCE,纤维板2110,2021-10-26
10.0,fb2111,2021-11-12,,DCE,2020-11-16,FB,0.5,FB2111.DCE,纤维板2111,2021-11-17
10.0,fb2112,2021-12-14,,DCE,2020-12-15,FB,0.5,FB2112.DCE,纤维板2112,2021-12-17
10.0,fb2201,2022-01-17,,DCE,2021-01-18,FB,0.5,FB2201.DCE,纤维板2201,2022-01-20
10.0,fb2203,2022-03-14,,DCE,2021-03-15,FB,0.5,FB2203.DCE,纤维板2203,2022-03-17
10.0,fb2204,2022-04-18,,DCE,2021-04-16,FB,0.5,FB2204.DCE,纤维板2204,2022-04-21
10.0,fb2202,2022-02-18,,DCE,2021-02-22,FB,0.5,FB2202.DCE,纤维板2202,2022-02-23
