period,instrument
15m,Y2205.DCE
15m,Y2207.DCE
15m,Y2208.DCE
15m,Y2209.DCE
15m,Y2301.DCE
15m,Y2211.DCE
15m,Y2212.DCE
15m,Y0000.DCE
15m,SP2204.SHF
15m,SP2206.SHF
15m,SP2205.SHF
15m,SP2207.SHF
15m,SP2208.SHF
15m,SP2209.SHF
15m,SP2301.SHF
15m,SP2210.SHF
15m,SP2212.SHF
15m,SP2211.SHF
15m,SP0000.SHF
15m,LU2205.INE
15m,LU2206.INE
15m,LU2209.INE
15m,LU2207.INE
15m,LU2208.INE
15m,LU2210.INE
15m,LU2302.INE
15m,LU2211.INE
15m,LU2212.INE
15m,LU2301.INE
15m,LU0000.INE
15m,B2204.DCE
15m,B2206.DCE
15m,B2205.DCE
15m,B2207.DCE
15m,B2208.DCE
15m,B2209.DCE
15m,B2301.DCE
15m,B2210.DCE
15m,B2211.DCE
15m,B2212.DCE
15m,B0000.DCE
15m,TA2204.CZC
15m,TA2206.CZC
15m,TA2205.CZC
15m,TA2207.CZC
15m,TA2208.CZC
15m,TA2209.CZC
15m,TA2301.CZC
15m,TA2210.CZC
15m,TA2211.CZC
15m,TA2212.CZC
15m,TA0000.CZC
15m,LH2205.DCE
15m,LH2207.DCE
15m,LH2209.DCE
15m,LH2301.DCE
15m,LH2211.DCE
15m,LH0000.DCE
15m,C2205.DCE
15m,C2207.DCE
15m,C2209.DCE
15m,C2301.DCE
15m,C2211.DCE
15m,C0000.DCE
15m,BU2206.SHF
15m,BU2209.SHF
15m,BU2212.SHF
15m,BU2303.SHF
15m,BU2306.SHF
15m,BU2309.SHF
15m,BU2204.SHF
15m,BU2312.SHF
15m,BU2207.SHF
15m,BU2205.SHF
15m,BU0000.SHF
15m,SR2205.CZC
15m,SR2207.CZC
15m,SR2209.CZC
15m,SR2301.CZC
15m,SR2211.CZC
15m,SR0000.CZC
15m,I2205.DCE
15m,I2204.DCE
15m,I2206.DCE
15m,I2207.DCE
15m,I2208.DCE
15m,I2209.DCE
15m,I2301.DCE
15m,I2210.DCE
15m,I2211.DCE
15m,I2212.DCE
15m,I0000.DCE
