,product_code,trading_day,volume,low,close,open_intl,open,high,date,instrument
0,FG,20211110,15033,1637.0,1648.0,60732.0,1654.0,1673.0,2021-11-10 10:00:00,FG2205.CZC
1,FG,20211110,10202,1625.0,1631.0,61478.0,1647.0,1657.0,2021-11-10 11:15:00,FG2205.CZC
2,FG,20211110,10316,1630.0,1664.0,61483.0,1630.0,1672.0,2021-11-10 14:15:00,FG2205.CZC
3,FG,20211110,7519,1659.0,1663.0,60472.0,1665.0,1685.0,2021-11-10 15:00:00,FG2205.CZC
4,FG,20211111,19900,1655.0,1702.0,60837.0,1661.0,1704.0,2021-11-10 22:00:00,FG2205.CZC
5,FG,20211111,12017,1685.0,1690.0,60388.0,1703.0,1713.0,2021-11-10 23:00:00,FG2205.CZC
6,FG,20211111,9641,1676.0,1700.0,60948.0,1688.0,1710.0,2021-11-11 10:00:00,FG2205.CZC
7,FG,20211111,11881,1696.0,1717.0,61280.0,1700.0,1737.0,2021-11-11 11:15:00,FG2205.CZC
8,FG,20211111,21283,1717.0,1788.0,64518.0,1717.0,1790.0,2021-11-11 14:15:00,FG2205.CZC
9,FG,20211111,15157,1768.0,1777.0,64002.0,1788.0,1812.0,2021-11-11 15:00:00,FG2205.CZC
10,FG,20211112,23260,1730.0,1748.0,64936.0,1774.0,1778.0,2021-11-11 22:00:00,FG2205.CZC
11,FG,20211112,9599,1744.0,1755.0,64568.0,1748.0,1773.0,2021-11-11 23:00:00,FG2205.CZC
12,FG,20211112,10829,1755.0,1776.0,65147.0,1757.0,1786.0,2021-11-12 10:00:00,FG2205.CZC
13,FG,20211112,8433,1740.0,1746.0,64646.0,1775.0,1780.0,2021-11-12 11:15:00,FG2205.CZC
14,FG,20211112,16899,1711.0,1769.0,64033.0,1745.0,1771.0,2021-11-12 14:15:00,FG2205.CZC
15,FG,20211112,17171,1762.0,1783.0,64619.0,1770.0,1795.0,2021-11-12 15:00:00,FG2205.CZC
16,FG,20211115,50153,1732.0,1844.0,71322.0,1748.0,1857.0,2021-11-12 22:00:00,FG2205.CZC
17,FG,20211115,16001,1825.0,1831.0,71166.0,1844.0,1854.0,2021-11-12 23:00:00,FG2205.CZC
18,FG,20211115,26843,1810.0,1833.0,70564.0,1830.0,1857.0,2021-11-15 10:00:00,FG2205.CZC
19,FG,20211115,22117,1785.0,1791.0,72697.0,1832.0,1832.0,2021-11-15 11:15:00,FG2205.CZC
20,FG,20211115,20185,1753.0,1775.0,72708.0,1791.0,1792.0,2021-11-15 14:15:00,FG2205.CZC
21,FG,20211115,7677,1755.0,1756.0,72017.0,1775.0,1786.0,2021-11-15 15:00:00,FG2205.CZC
22,FG,20211116,29630,1777.0,1812.0,74711.0,1782.0,1825.0,2021-11-15 22:00:00,FG2205.CZC
23,FG,20211116,12312,1788.0,1799.0,75137.0,1812.0,1814.0,2021-11-15 23:00:00,FG2205.CZC
24,FG,20211116,14018,1777.0,1810.0,76627.0,1798.0,1813.0,2021-11-16 10:00:00,FG2205.CZC
25,FG,20211116,11723,1801.0,1808.0,75964.0,1810.0,1826.0,2021-11-16 11:15:00,FG2205.CZC
26,FG,20211116,15893,1769.0,1782.0,77070.0,1808.0,1810.0,2021-11-16 14:15:00,FG2205.CZC
27,FG,20211116,7633,1760.0,1768.0,76906.0,1782.0,1786.0,2021-11-16 15:00:00,FG2205.CZC
28,FG,20211117,42496,1696.0,1712.0,80147.0,1768.0,1789.0,2021-11-16 22:00:00,FG2205.CZC
29,FG,20211117,16186,1677.0,1695.0,80677.0,1711.0,1712.0,2021-11-16 23:00:00,FG2205.CZC
