time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1470873600,591.37,599.75,584.59,590.07,15023.46,8916603.18,force_direct,
1470960000,584.5,593.0,584.0,591.91,5878.13,3461025.02,force_direct,
1471046400,583.2,590.02,582.0,585.6,6374.98,3733188.93,force_direct,
1471132800,568.8,583.75,564.0,582.18,7404.58,4246194.99,force_direct,
1471219200,565.75,575.75,562.99,569.95,7284.43,4138951.39,force_direct,
1471305600,576.0,579.0,564.0,566.47,6107.51,3498815.89,force_direct,
1471392000,571.2,578.5,569.0,574.51,4997.27,2868265.41,force_direct,
1471478400,572.32,578.75,569.71,571.81,5919.7,3401150.57,force_direct,
1471564800,573.06,577.25,570.82,572.15,2848.16,1635146.13,force_direct,
1471651200,582.67,582.75,571.25,573.68,3156.1,1823996.51,force_direct,
1471737600,580.42,584.27,580.0,580.91,2375.32,1383542.16,force_direct,
1471824000,588.79,589.99,581.28,581.91,4544.54,2663669.55,force_direct,
1471910400,584.34,590.69,581.1,587.61,4760.5,2784483.47,force_direct,
1471996800,580.32,586.91,580.0,583.47,4942.67,2879722.57,force_direct,
1472083200,577.24,581.14,574.01,580.76,3552.36,2046292.32,force_direct,
1472169600,578.01,579.51,575.06,577.24,1763.77,1018764.73,force_direct,
1472256000,568.5,578.99,567.23,578.07,2241.06,1281486.51,force_direct,
1472342400,574.09,574.54,568.18,569.45,1471.98,842026.64,force_direct,
1472428800,574.8,578.1,573.01,575.98,2573.34,1480648.07,force_direct,
1472515200,578.98,580.28,574.07,574.77,3137.33,1814323.79,force_direct,
1472601600,574.57,579.26,572.02,578.99,3400.03,1956605.68,force_direct,
1472688000,572.1,577.98,571.43,577.14,3547.78,2035075.25,force_direct,
1472774400,580.56,580.99,570.61,571.76,5371.03,3096370.31,force_direct,
1472860800,608.25,615.0,576.04,580.56,8429.84,5019581.16,force_direct,
1472947200,615.19,618.65,601.83,608.07,4858.83,2974229.78,force_direct,
1473033600,612.67,615.68,603.84,611.73,4818.45,2940458.32,force_direct,
1473120000,614.65,617.53,609.7,611.91,3022.63,1853464.2,force_direct,
1473206400,618.7,620.0,610.83,615.49,5348.89,3295847.17,force_direct,
1473292800,630.69,636.16,617.12,619.19,7771.45,4882669.51,force_direct,
1473379200,625.26,632.35,621.24,631.99,4121.77,2576595.59,force_direct,
1473465600,628.5,629.65,624.68,626.27,3992.36,2504761.33,force_direct,
1473552000,610.51,635.0,595.36,626.37,9325.38,5738885.3,force_direct,
1473638400,611.11,615.21,608.01,611.52,4758.74,2909272.01,force_direct,
1473724800,613.91,640.0,610.0,611.8,7223.37,4441138.96,force_direct,
1473811200,613.89,617.38,612.01,614.27,5881.04,3615554.58,force_direct,
1473897600,611.83,617.93,611.0,613.89,4360.93,2677303.9,force_direct,
1473984000,610.02,614.22,609.54,611.83,3693.46,2258446.0,force_direct,
1474070400,607.82,610.75,604.96,610.01,3561.09,2162509.03,force_direct,
1474156800,614.41,616.34,607.18,608.05,2828.34,1732244.35,force_direct,
1474243200,609.76,615.05,608.6,612.69,2887.39,1764443.34,force_direct,
1474329600,610.82,612.01,607.36,610.0,2680.79,1634879.32,force_direct,
1474416000,597.76,600.05,595.01,598.05,5794.06,3462413.3,force_direct,
1474502400,596.77,598.7,595.92,597.39,2320.23,1385943.0,force_direct,
1474588800,603.28,603.99,595.95,595.95,1922.74,1153594.16,force_direct,
1474675200,602.81,606.0,601.0,603.29,865.29,522198.19,force_direct,
