,name,exchange,instrument,product_code
0,五债1312,CFFEX,TF1312.CFX,TF
1,五债1403,CFFEX,TF1403.CFX,TF
2,五债1406,CFFEX,TF1406.CFX,TF
3,五债1409,CFFEX,TF1409.CFX,TF
4,五债1412,CFFEX,TF1412.CFX,TF
5,五债1503,CFFEX,TF1503.CFX,TF
6,五债1506,CFFEX,TF1506.CFX,TF
7,五债1509,CFFEX,TF1509.CFX,TF
8,五债1512,CFFEX,TF1512.CFX,TF
9,五债1603,CFFEX,TF1603.CFX,TF
10,五债1606,CFFEX,TF1606.CFX,TF
11,五债1609,CFFEX,TF1609.CFX,TF
12,五债1612,CFFEX,TF1612.CFX,TF
13,五债1703,CFFEX,TF1703.CFX,TF
14,五债1706,CFFEX,TF1706.CFX,TF
15,五债1709,CFFEX,TF1709.CFX,TF
16,五债1712,CFFEX,TF1712.CFX,TF
17,五债1803,CFFEX,TF1803.CFX,TF
18,五债1806,CFFEX,TF1806.CFX,TF
19,五债1809,CFFEX,TF1809.CFX,TF
20,五债1812,CFFEX,TF1812.CFX,TF
21,五债1903,CFFEX,TF1903.CFX,TF
22,五债1906,CFFEX,TF1906.CFX,TF
23,五债1909,CFFEX,TF1909.CFX,TF
24,五债1912,CFFEX,TF1912.CFX,TF
25,五债2003,CFFEX,TF2003.CFX,TF
26,五债2006,CFFEX,TF2006.CFX,TF
27,五债2009,CFFEX,TF2009.CFX,TF
28,五债2012,CFFEX,TF2012.CFX,TF
29,五债2103,CFFEX,TF2103.CFX,TF
30,5年期国债2106,CFFEX,TF2106.CFX,TF
31,5年期国债2109,CFFEX,TF2109.CFX,TF
32,5年期国债2112,CFFEX,TF2112.CFX,TF
33,5年期国债2203,CFFEX,TF2203.CFX,TF
34,5年期国债2206,CFFEX,TF2206.CFX,TF
35,5年期国债2209,CFFEX,TF2209.CFX,TF
36,5年期国债主力,CFFEX,TF8888.CFX,TF
37,5年期国债指数,CFFEX,TF0000.CFX,TF
38,5年期国债前复权主力,CFFEX,TF9999.CFX,TF
39,动力煤1312,CZCE,TC1312.CZC,TC
40,动力煤1401,CZCE,TC1401.CZC,TC
41,动力煤1402,CZCE,TC1402.CZC,TC
42,动力煤1403,CZCE,TC1403.CZC,TC
43,动力煤1404,CZCE,TC1404.CZC,TC
44,动力煤1405,CZCE,TC1405.CZC,TC
45,动力煤1406,CZCE,TC1406.CZC,TC
46,动力煤1407,CZCE,TC1407.CZC,TC
47,动力煤1408,CZCE,TC1408.CZC,TC
48,动力煤1409,CZCE,TC1409.CZC,TC
49,动力煤1410,CZCE,TC1410.CZC,TC
50,动力煤1411,CZCE,TC1411.CZC,TC
51,动力煤1412,CZCE,TC1412.CZC,TC
52,动力煤1501,CZCE,TC1501.CZC,TC
53,动力煤1502,CZCE,TC1502.CZC,TC
54,动力煤1503,CZCE,TC1503.CZC,TC
55,动力煤1504,CZCE,TC1504.CZC,TC
56,动力煤1505,CZCE,TC1505.CZC,TC
57,动力煤1506,CZCE,TC1506.CZC,TC
58,动力煤1507,CZCE,TC1507.CZC,TC
59,动力煤1508,CZCE,TC1508.CZC,TC
60,动力煤1509,CZCE,TC1509.CZC,TC
61,动力煤1510,CZCE,TC1510.CZC,TC
62,动力煤1511,CZCE,TC1511.CZC,TC
63,动力煤1512,CZCE,TC1512.CZC,TC
64,动力煤1601,CZCE,TC1601.CZC,TC
65,动力煤1602,CZCE,TC1602.CZC,TC
66,动力煤1603,CZCE,TC1603.CZC,TC
67,动力煤1604,CZCE,TC1604.CZC,TC
68,动力煤主力,CZCE,TC8888.CZC,TC
69,动力煤指数,CZCE,TC0000.CZC,TC
70,动力煤前复权主力,CZCE,TC9999.CZC,TC
71,红枣1912,CZCE,CJ1912.CZC,CJ
72,红枣2001,CZCE,CJ2001.CZC,CJ
73,红枣2003,CZCE,CJ2003.CZC,CJ
74,红枣2005,CZCE,CJ2005.CZC,CJ
75,红枣2007,CZCE,CJ2007.CZC,CJ
76,红枣2009,CZCE,CJ2009.CZC,CJ
77,红枣2012,CZCE,CJ2012.CZC,CJ
78,红枣2101,CZCE,CJ2101.CZC,CJ
79,红枣2103,CZCE,CJ2103.CZC,CJ
80,红枣2105,CZCE,CJ2105.CZC,CJ
81,红枣107,CZCE,CJ2107.CZC,CJ
82,红枣109,CZCE,CJ2109.CZC,CJ
83,红枣112,CZCE,CJ2112.CZC,CJ
84,红枣201,CZCE,CJ2201.CZC,CJ
85,红枣203,CZCE,CJ2203.CZC,CJ
86,红枣205,CZCE,CJ2205.CZC,CJ
87,红枣207,CZCE,CJ2207.CZC,CJ
88,红枣209,CZCE,CJ2209.CZC,CJ
89,红枣301,CZCE,CJ2301.CZC,CJ
90,红枣212,CZCE,CJ2212.CZC,CJ
91,红枣主力,CZCE,CJ8888.CZC,CJ
92,红枣指数,CZCE,CJ0000.CZC,CJ
93,红枣前复权主力,CZCE,CJ9999.CZC,CJ
94,棕榈油0801,DCE,P0801.DCE,P
95,棕榈油0802,DCE,P0802.DCE,P
96,棕榈油0803,DCE,P0803.DCE,P
97,棕榈油0804,DCE,P0804.DCE,P
98,棕榈油0805,DCE,P0805.DCE,P
99,棕榈油0806,DCE,P0806.DCE,P
100,棕榈油0807,DCE,P0807.DCE,P
101,棕榈油0808,DCE,P0808.DCE,P
102,棕榈油0809,DCE,P0809.DCE,P
103,棕榈油0810,DCE,P0810.DCE,P
104,棕榈油0811,DCE,P0811.DCE,P
105,棕榈油0812,DCE,P0812.DCE,P
106,棕榈油0901,DCE,P0901.DCE,P
107,棕榈油0902,DCE,P0902.DCE,P
108,棕榈油0903,DCE,P0903.DCE,P
109,棕榈油0904,DCE,P0904.DCE,P
110,棕榈油0905,DCE,P0905.DCE,P
111,棕榈油0906,DCE,P0906.DCE,P
112,棕榈油0907,DCE,P0907.DCE,P
113,棕榈油0908,DCE,P0908.DCE,P
114,棕榈油0909,DCE,P0909.DCE,P
115,棕榈油0910,DCE,P0910.DCE,P
116,棕榈油0911,DCE,P0911.DCE,P
117,棕榈油0912,DCE,P0912.DCE,P
118,棕榈油1001,DCE,P1001.DCE,P
119,棕榈油1002,DCE,P1002.DCE,P
120,棕榈油1003,DCE,P1003.DCE,P
121,棕榈油1004,DCE,P1004.DCE,P
122,棕榈油1005,DCE,P1005.DCE,P
123,棕榈油1006,DCE,P1006.DCE,P
124,棕榈油1007,DCE,P1007.DCE,P
125,棕榈油1008,DCE,P1008.DCE,P
126,棕榈油1009,DCE,P1009.DCE,P
127,棕榈油1010,DCE,P1010.DCE,P
128,棕榈油1011,DCE,P1011.DCE,P
129,棕榈油1012,DCE,P1012.DCE,P
130,棕榈油1101,DCE,P1101.DCE,P
131,棕榈油1102,DCE,P1102.DCE,P
132,棕榈油1103,DCE,P1103.DCE,P
133,棕榈油1104,DCE,P1104.DCE,P
134,棕榈油1105,DCE,P1105.DCE,P
135,棕榈油1106,DCE,P1106.DCE,P
136,棕榈油1107,DCE,P1107.DCE,P
137,棕榈油1108,DCE,P1108.DCE,P
138,棕榈油1109,DCE,P1109.DCE,P
139,棕榈油1110,DCE,P1110.DCE,P
140,棕榈油1111,DCE,P1111.DCE,P
141,棕榈油1112,DCE,P1112.DCE,P
142,棕榈油1201,DCE,P1201.DCE,P
143,棕榈油1202,DCE,P1202.DCE,P
144,棕榈油1203,DCE,P1203.DCE,P
145,棕榈油1204,DCE,P1204.DCE,P
146,棕榈油1205,DCE,P1205.DCE,P
147,棕榈油1206,DCE,P1206.DCE,P
148,棕榈油1207,DCE,P1207.DCE,P
149,棕榈油1208,DCE,P1208.DCE,P
